CEIPT_DT_1,INTERV EW_DT_1,DECISION_DT_1,RECEIPT_DT_2,INTERV EW_DT_2,DECISION_DT_2,DEC SION_DT_4,INTERVIEW_COMPLETED   SCHEDULED_INTERVIEW_DT,DEP_DTP_Enlistment_Date   ,CI_Screening_Results_at_DoDCAF  , Completed_MSSD,USCIS_Notified_on_F nal_Su tab lity_Determination_ Date)
3/30/18,,,,,,,,4/28/16,2/4/18,4/10/18,4/10/18
6/26/17,,,,,,,,3/24/16,,,
5/1/17,,,,,,,,12/9/15,11/1/17,,
2/27/17,,,,,,,,2/5/16,11/1/17,,
7/5/17,,,,,,,,6/24/16,2/5/18,,
8/31/17,,,,,,,,1/8/16,11/28/17,3/1/18,3/1/18
4/28/17,,,,,,,,5/18/16,2/9/18,,
1/23/17,,,,,,,,12/10/15,9/24/17,,
7/18/17,,,,,,,,5/18/16,1/11/18,,
4/27/18,,,,,,,,3/17/16,9/5/17,,
9/14/17,,,,,,,,4/19/16,1/4/18,,
4/23/18,,,,,,,,12/17/15,1/23/17,4/10/18,4/10/18
8/7/17,,,,,,,,6/23/16,3/5/18,,
4/13/18,,,,,,,,3/16/16,1/10/18,,
2/20/18,,,,,,,,3/17/16,1/8/18,,
2/6/17,,,,,,,,6/22/16,2/27/18,5/2/18,5/2/18
9/1/17,,,,,,,,4/29/16,,,
3/6/18,,,,,,,,6/22/16,1/22/18,5/11/18,5/11/18
9/8/17,,,,,,,,1/13/16,1/9/18,5/11/18,5/11/18
7/13/17,,,,,,,,3/10/16,11/18/17,,
6/22/17,,,,,,,,12/11/15,2/9/18,,
1/22/18,,,,,,,,3/2/16,11/20/17,,
3/27/17,,,,,,,,4/18/16,1/16/18,,
10/27/17,,,,,,,,4/19/16,1/10/18,,
2/27/17,,,,,,,6/19/18,1/28/16,11/16/17,4/10/18,4/10/18
3/15/17,,,,,,,,3/25/16,2/9/18,,
2/7/18,,,,,,,,4/27/16,1/24/18,,
8/29/17,,,,,,,,12/30/15,1/24/18,5/11/18,5/11/18
2/28/17,,,,,,,,5/13/16,1/22/18,,
3/20/17,,,,,,,,3/24/16,1/23/18,,
3/7/17,,,,,,,,6/2/16,11/5/17,,
4/25/18,,,,,,,,2/11/16,2/8/18,4/10/18,4/10/18
4/12/17,,,,,,,,3/29/16,1/23/18,,
1/23/18,,,,,,,7/5/18,11/19/15,10/6/17,4/10/18,4/10/18
6/21/17,,,,,,,,4/27/16,1/30/18,,
7/7/17,,,,,,,,11/25/15,8/29/17,,
1/9/17,,,,,,,,4/13/16,1/16/18,,
4/11/18,,,,,,,,4/15/16,1/22/18,4/10/18,4/10/18
4/27/18,,,,,,,,2/3/16,1/29/18,,
10/19/17,,,,,,,7/3/18,5/12/16,2/8/18,4/10/18,4/10/18
4/5/18,,,,,,,,12/18/15,10/23/17,3/1/18,3/1/18
2/22/18,,,,,,,,6/23/16,1/17/18,,
6/8/17,,,,,,,,6/15/16,2/15/18,,
4/13/18,,,,,,,,3/18/16,N/A,,
3/6/17,,,,,,,6/25/18,12/30/15,10/23/17,5/2/18,5/2/18
4/13/18,,,,,,,,3/17/16,12/26/17,3/1/18,3/1/18
5/3/18,,,,,,,,12/18/15,9/12/17,3/1/18,3/1/18
2/13/17,,,,,,,6/21/18,6/9/16,1/24/18,5/2/18,5/2/18
2/22/17,,,,,,,,1/28/16,11/16/17,,
2/5/18,,,,,,,,2/2/16,1/16/18,,
2/16/18,,,4/16/18,,,,,11/6/15,10/23/17,3/1/18,3/1/18
2/21/17,,,,,,,,12/21/15,9/23/17,,
2/9/18,,,,,,,,6/15/16,1/10/18,,
4/14/17,,,,,,,,3/11/16,2/22/18,,
4/11/18,,,,,,,,3/18/16,1/2/18,,
1/12/18,,,,,,,,5/23/16,2/5/18,,
3/2/18,,,,,,,,1/29/16,11/13/17,,
8/30/17,,,,,,,,12/1/15,10/24/17,,
8/14/17,,,,,,,,2/5/16,12/26/17,,
